"","delta_nbr","relative_regrowth","pct_recovery","postfire_fitted_slope","cluster","x_y","x","y","fire","canopy_cover","veg_height","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","predisturbance_nbr","postdisturbance_nbr","disturbance_nbr","absolute_regrowth","max.postfire.nbr","time_to_0.8recovery","time_to_0.6recovery","hli","SiteID"
"11",-235.101335906982,0.695151162888095,0.610686098612068,20.2840934166541,1,"-119.607907316_43.848804036",-119.607907316,43.848804036,"egley",45,111,313.868621826172,367.953826904297,359.790679931641,324.879760742188,311.140686035156,334.843688964844,276.298553466797,356.084411621094,387.973266601562,365.938873291016,-205.143905639648,-273.873870849609,-76.9230804443359,128.030303955078,63.9316253662109,103.161926269531,108.410614013672,92.4062194824219,207.558303833008,138.286331176758,157.154449462891,125.742317199707,95.4533386230469,124.444442749023,339.877236938477,104.775901031494,-239.508888244629,87.7855200124314,207.558303833008,NA,8,197,"EG_11_1"
"12",-233.080365252495,1.26934254267872,0.830524128930453,41.660923243879,1,"-119.377557316_43.821420036",-119.377557316,43.821420036,"egley",45,111,413.232513427734,410.639099121094,398.431365966797,372.489593505859,416.047546386719,398.058258056641,383.501007080078,399.053619384766,393.448944091797,424.217468261719,-464.612823486328,-382.587585449219,-2.1008403301239,8.35073089599609,121.319961547852,162.910491943359,174.119888305664,144.814697265625,183.421524047852,280.518737792969,332.967041015625,271.993530273438,307.601654052734,300.703247070312,400.91194152832,167.831576275826,-423.600204467773,202.640166345067,332.967041015625,10,9,166,"EG_12_1"
"13",-240.714135932922,0.606659170723028,0.892904555032627,44.2757844820127,1,"-119.382435316_43.735356036",-119.382435316,43.735356036,"egley",45,110,317.092651367188,301.550384521484,309.320465087891,284.552856445312,296.466979980469,276.870483398438,346.586639404297,346.737487792969,314.330352783203,334.590728759766,-351.785705566406,-354.644592285156,-187.028656005859,-53.7555236816406,-40.0271377563477,24.3142147064209,53.3765869140625,85.4529876708984,177.863433837891,175.099334716797,209.175308227539,276.487121582031,279.309387207031,184,312.809902954102,72.0957670211792,-353.215148925781,95.1481689536613,279.309387207031,11,10,167,"EG_13_1"
"14",-190.619625854492,-0.992225529736818,0.826069311755437,16.9035006512652,1,"-119.388397316_43.832830036",-119.388397316,43.832830036,"egley",55,110,450.41015625,450.643768310547,482.610382080078,449.056610107422,405.492736816406,446.927368164062,462.002410888672,446.443878173828,429.390106201172,520.034851074219,226.574127197266,102.409637451172,256.775390625,187.878784179688,222.583267211914,256.970611572266,241.165054321289,232.198135375977,252.666427612305,296.047729492188,357.197265625,333.333343505859,329.550048828125,375.284301757812,454.301226806641,263.681600952148,164.491882324219,-69.1138929918503,375.284301757812,13,9,190,"EG_14_1"
"15",-240.774482965469,0.377444699438729,0.571296421288721,23.7971246687921,1,"-119.382977316_43.841306036",-119.382977316,43.841306036,"egley",35,110,283.860229492188,276.827362060547,299.503204345703,265.840698242188,276.069030761719,269.841278076172,298.937774658203,293.642028808594,311.111114501953,317.835083007812,-214.754104614258,-290.953552246094,-12.768816947937,-14.7817115783691,22.2367553710938,45.9057083129883,69.3658828735352,2.46913576126099,51.2820510864258,133.443161010742,83.3784484863281,105.192359924316,141.876434326172,165.302780151367,289.346780395508,48.5722974300385,-252.853828430176,44.2251072730309,165.302780151367,NA,NA,179,"EG_15_1"
"16",-254.553893113136,0.460879043226325,0.553594460025437,33.2534450397387,1,"-119.579994316_43.857932036",-119.579994316,43.857932036,"egley",35,110,276.116180419922,279.366485595703,301.627044677734,276.774475097656,249.695495605469,207.243453979492,240.733520507812,274.931549072266,254.208755493164,278.757354736328,-407.852203369141,-315.165863037109,-153.729064941406,-83.4220809936523,-73.7520141601562,-78.2971115112305,2.61248183250427,32.7963180541992,88.3694381713867,103.29907989502,126.936668395996,129.101669311523,122.932746887207,146.118728637695,263.945431518555,9.3915384054184,-361.509033203125,59.9356182334866,146.118728637695,NA,NA,138,"EG_16_1"
"17",-268.541338920593,0.265671410704309,0.613886024101148,29.2470589417678,1,"-119.398153316_43.795340036",-119.398153316,43.795340036,"egley",35,110,163.906723022461,188.815795898438,210.803695678711,220.708450317383,203.384307861328,212.867904663086,242.718444824219,196.913787841797,232.89518737793,242.424240112305,-369.035369873047,-368.421051025391,-171.003723144531,-91.7401275634766,-124.321235656738,-81.0359268188477,-60.9150314331055,-61.9612083435059,-42.0560760498047,10.1892280578613,28.2651081085205,24.6041412353516,70.7583084106445,129.863815307617,211.543853759766,-56.9974851608276,-368.728210449219,33.7336245204956,129.863815307617,NA,13,184,"EG_17_1"
"18",-371.758960723877,0.687418640893231,0.655348893296237,52.5854236057826,1,"-119.289482316_43.862496036",-119.289482316,43.862496036,"egley",55,111,473.299865722656,522.980163574219,588.4736328125,497.016967773438,533.008422851562,452.127655029297,481.5498046875,531.634460449219,545.538208007812,549.509338378906,-378.74658203125,-379.833740234375,-256.637176513672,-48.4024047851562,122.079627990723,149.440002441406,188.871719360352,178.133834838867,219.65837097168,275,314.057220458984,315.347717285156,332.121215820312,339.152130126953,517.513851928711,145.754891204834,-379.290161132812,147.233435190547,339.152130126953,NA,10,188,"EG_18_1"
"19",-377.539309883118,-0.248486176212503,0.549649302358502,37.8627796906691,1,"-119.596796316_43.850760036",-119.596796316,43.850760036,"egley",45,111,413.932067871094,470.773101806641,415.254241943359,356.61376953125,421.736877441406,345.508392333984,418.407684326172,369.005554199219,413.590148925781,458.378387451172,-332.408050537109,-319.532897949219,-129.387115478516,69.3802032470703,-136.933456420898,-91.3642044067383,18.1660900115967,-18.8087768554688,69.651741027832,132.363128662109,179.880081176758,214.859436035156,189.79963684082,224.432815551758,408.320022583008,30.7807126998901,-325.970474243164,-38.3193199400254,224.432815551758,NA,NA,128,"EG_19_1"
"20",-258.674687492847,0.70574961270529,0.892636624327611,40.2077732695328,1,"-119.363194316_43.829244036",-119.363194316,43.829244036,"egley",55,111,451.94677734375,458.823516845703,458.984375,459.45947265625,480.684600830078,381,422.556396484375,486.835327148438,464.114837646484,510.820343017578,-281.622924804688,-258.304412841797,1.42653357982635,24.0489730834961,146.66667175293,140.248352050781,234.042556762695,215.304794311523,230.973739624023,293.675628662109,408.401397705078,293.690124511719,322.057312011719,332.879974365234,457.522564697266,198.847877204418,-269.963668823242,109.238795497557,408.401397705078,10,9,181,"EG_20_1"
"21",-299.960875701904,0.850007495639518,0.541348492727837,30.3268291347629,1,"-119.385145316_43.839024036",-119.385145316,43.839024036,"egley",55,110,373.205749511719,436.721588134766,432.203399658203,424.096374511719,370.109558105469,388.560150146484,406.113525390625,391.26953125,430.379760742188,427.894104003906,-382.235961914062,-412.784393310547,-59.3471794128418,69.6071701049805,49.9838752746582,83.8359451293945,151.238967895508,65.2424926757812,155.387115478516,220.900161743164,186.961212158203,157.135223388672,90.6441268920898,208.916534423828,408.055374145508,108.094498443604,-397.510177612305,140.057910099875,220.900161743164,NA,NA,187,"EG_21_1"
"22",-288.690561199188,-1.11134100069178,0.843758765252293,28.689896274399,1,"-119.393817316_43.827614036",-119.393817316,43.827614036,"egley",45,110,394.681304931641,470.7470703125,447.780120849609,432.947021484375,451.890045166016,419.326232910156,437.415893554688,432.758605957031,440.382934570312,497.79736328125,178.743957519531,-17.8739414215088,9.27152347564697,110.619468688965,34.8789482116699,158.978271484375,155.537780761719,146.417449951172,168.521469116211,227.785614013672,242.917846679688,283.892608642578,290.464019775391,373.424560546875,442.572659301758,153.88209810257,80.4350080490112,-114.392226964926,373.424560546875,13,11,184,"EG_22_1"
"23",-274.640118408203,-0.579690720929288,0.750375040869747,29.6148198725103,1,"-119.410890316_43.720686036",-119.410890316,43.720686036,"egley",45,111,406.535949707031,446.412750244141,442.664428710938,386.554626464844,406.961761474609,406.828460693359,420.026000976562,420.265075683594,468.464538574219,476.883575439453,-9.50369548797607,-80.3108825683594,47.6575126647949,105.678230285645,59.6363639831543,100.314575195312,125.523010253906,132.47282409668,187.007873535156,235.74821472168,256.440979003906,284.716400146484,315.943725585938,321.280364990234,428.159716796875,153.519598388672,-44.9072890281677,-65.7336053617116,321.280364990234,NA,11,179,"EG_23_1"
"24",-258.1620043993,0.926788932615068,0.569598677620104,27.1433957579372,1,"-119.652080316_43.815878036",-119.652080316,43.815878036,"egley",45,110,404.727783203125,373.668182373047,373.393524169922,318.545440673828,295.877410888672,305.049102783203,279.648620605469,286.562744140625,295.531341552734,321.847503662109,-377.102996826172,-277.100280761719,-118.766403198242,-55.7480316162109,-2.2805016040802,59.0751152038574,110.594314575195,114.754096984863,138.013366699219,180.195190429688,185.395919799805,61.9985427856445,127.227722167969,123.975158691406,325.485165405273,67.3231610059738,-327.101638793945,121.132734870285,185.395919799805,NA,NA,180,"EG_24_1"
"25",-314.181165885925,-0.589522571860238,0.732591499583508,39.5920587267195,1,"-119.378912316_43.713188036",-119.378912316,43.713188036,"egley",45,110,390.579956054688,398.591552734375,382.140502929688,347.826080322266,401.843627929688,391.335479736328,399.212310791016,408.177917480469,405.72265625,505.057312011719,-102.928131103516,-310.549774169922,27.1565494537354,21.5722122192383,-91.0303421020508,20.3174610137939,26.0984477996826,74.6081466674805,141.065826416016,191.599533081055,215.879455566406,261.408447265625,273.802490234375,295.270080566406,403.048739624023,88.8675737380981,-206.738952636719,-79.9665120960086,295.270080566406,NA,11,182,"EG_25_1"
