Plot,Subplot,Spec,St,Ht,Browse,Plot Size,Seed Tree,Comments,,,,
M27,,PIEN,L,20,,60,,,,,,
M27,,PIEN,L,12,,60,,,,,,
M27,,PIEN,L,13,,60,,,,,,
M27,,PIEN,L,16,,60,,,,,,
M27,,PIEN,L,15,,60,,,,,,
M24,,PIPO,L,43,,60,,,,,,
M24,,PIPO,L,37,,60,,,,,,
M24,,PIPO,L,50,,60,,,,,,
M24,,PIPO,L,43,,60,,,,,,
M24,,PIPO,L,26,,60,,,,,,
M24,,PIPO,L,49,,60,,,,,,
M24,,PIPO,L,57,,60,,,,,,
M24,,PIPO,L,40,,60,,,,,,
M24,,PIPO,L,77,,60,,,,,,
M24,,PIPO,L,41,,60,,,,,,
M24,,PIPO,L,42,,60,,,,,,
M24,,PIPO,L,33,,60,,,,,,
M24,,PIPO,L,34,,60,,,,,,
M24,,PIPO,L,45,,60,,,,,,
M24,,PIPO,L,56,,60,,,,,,
M24,,PIPO,L,37,,60,,,,,,
M24,,PIPO,L,35,,60,,,,,,
M24,,PIPO,L,40,,60,,,,,,
M24,,PIPO,L,54,,60,,,,,,
M24,,PIPO,L,57,,60,,,,,,
M24,,PIPO,L,69,,60,,,,,,
M24,,PIPO,L,33,,60,,,,,,
M24,,PIPO,L,29,,60,,,,,,
M24,,PIPO,L,24,,60,,,,,,
M24,,PIPO,L,22,,60,,,,,,
M24,,PIPO,L,50,,60,,,,,,
M24,,PIPO,L,45,,60,,,,,,
M24,,PIPO,L,31,,60,,,,,,
M24,,PIPO,L,59,,60,,,,,,
M24,,PIPO,L,23,,60,,,,,,
M24,,PIPO,L,26,,60,,,,,,
M24,,PIPO,L,28,,60,,,,,,
M24,,PIPO,L,41,,60,,,,,,
M24,,PIPO,L,52,,60,,,,,,
M24,,PIPO,L,46,,60,,,,,,
M24,,PIPO,L,36,,60,,,,,,
M24,,PIPO,L,43,,60,,,,,,
M24,,PIPO,L,58,,60,,,,,,
M26,,PIPO,L,47,,60,PIPO 49; PSME 59; ABGR 80,,,,,
M26,,PIPO,L,55,,60,PIPO 49; PSME 59; ABGR 80,,,,,
M26,,PIPO,L,20,,60,PIPO 49; PSME 59; ABGR 80,,,,,
M26,,PIPO,L,28,,60,PIPO 49; PSME 59; ABGR 80,,,,,
M27,,PIPO,L,7,,60,,,,,,
M27,,PIPO,L,39,,60,,,,,,
M27,,PIPO,L,45,,60,,,,,,
M27,,PIPO,L,42,,60,,,,,,
M27,,PIPO,L,42,,60,,,,,,
M27,,PIPO,L,15,,60,,,,,,
M27,,PIPO,L,38,,60,,,,,,
M27,,PIPO,L,42,,60,,,,,,
M27,,PIPO,L,32,,60,,,,,,
M27,,PIPO,L,52,,60,,,,,,
M27,,PIPO,L,33,,60,,,,,,
M27,,PIPO,L,22,,60,,,,,,
M24,,PSME,L,16,,60,,,,,,
M24,,PSME,L,20,,60,,,,,,
M24,,PSME,L,23,,60,,,,,,
M24,,PSME,L,26,,60,,,,,,
M24,,PSME,L,22,,60,,,,,,
M24,,PSME,L,21,,60,,,,,,
M26,,PSME,L,3,,60,PIPO 49; PSME 59; ABGR 80,,,,,
M26,,PSME,L,29,,60,PIPO 49; PSME 59; ABGR 80,,,,,
M27,,PSME,L,13,,60,,,,,,
M27,,PSME,L,12,,60,,,,,,
M27,,PSME,L,24,,60,,,,,,
M27,,PSME,L,19,,60,,,,,,
M27,,PSME,L,22,,60,,,,,,
M28,,ABGR,L,11,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,ABGR,L,35,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,ABGR,L,27,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,ABGR,L,25,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,ABGR,L,39,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,ABGR,L,24,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,ABGR,L,42,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,ABGR,L,12,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,ABGR,L,16,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,ABGR,L,22,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,ABGR,L,26,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,ABGR,L,34,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,ABGR,L,18,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,ABGR,L,24,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,ABGR,L,48,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,ABGR,L,21,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,ABGR,L,18,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,ABGR,L,12,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,ABGR,L,38,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,ABGR,L,24,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,ABGR,L,31,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,ABGR,L,31,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,ABGR,L,41,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,ABGR,L,46,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,ABGR,L,26,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,ABGR,L,23,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,ABGR,L,24,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,ABGR,L,38,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,ABGR,L,25,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,ABGR,L,23,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,ABGR,L,36,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,ABGR,L,28,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,ABGR,L,27,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,ABGR,L,28,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,ABGR,L,34,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,ABGR,L,30,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,ABGR,L,49,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,ABGR,L,29,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,ABGR,L,16,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,ABGR,L,21,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,ABGR,L,43,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,ABGR,L,13,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,LAOC,L,49,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,PIEN,L,34,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,PIPO,L,53,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,PIPO,L,53,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,PIPO,L,47,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,PIPO,L,43,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,PIPO,L,77,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,PIPO,L,59,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,PIPO,L,48,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,PIPO,L,65,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,PIPO,L,52,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,PIPO,L,70,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,PIPO,L,78,,120,ABGR 66; PIPO 47; PSME 64,,,,,
M28,,PIPO,L,58,,120,ABGR 66; PIPO 47; PSME 64,,,,,
