"","Plot","Fire","fire_year","field_samp_year","MTBS_sev","grass_cover","herb_cover","shrub_cover","seedling_cover","green_cover_total","npv_cover_total","seedling_density","densiometer","elevation","aspect","aspect_sw_folded","slope","Lat","Long"
"14","BCN7","Bridge Creek",2001,2022,3,28.75,12.5,27.5,0,45,33.75,0,0.390625,938.939,26.74607277,18.25392723,32.03622055,45.031612932,-118.976379852
"15","BCN8","Bridge Creek",2001,2022,2,48.75,38.75,5,0,60,33.75,0,8.203125,987.671,320.9498596,84.05014038,23.92346764,45.030699347,-118.977079381
"16","BCS10","Bridge Creek",2001,2022,2,26.25,27.5,12.5,0,43.75,21.25,0,13.28125,942.18,231.9869537,173.0130463,22.19664383,45.055987734,-118.964906875
"17","BCS2","Bridge Creek",2001,2022,3,37.5,16.25,58.75,0,61.25,33.75,0,0.130208333,1015.523,37.39157867,7.608421326,47.22571945,45.02678829,-118.973675396
"18","BCS3","Bridge Creek",2001,2022,3,10,10,50,0,50,41.25,350,5.338541667,948.29,6.571279049,38.42872095,30.25610542,45.032102633,-118.969090179
"19","BCS4","Bridge Creek",2001,2022,3,25,17.5,51.25,2.5,62.5,33.75,850,3.645833333,1108.599,278.1422424,126.8577576,7.131639481,45.044096066,-118.974328997
"20","BCS5","Bridge Creek",2001,2022,3,53.75,18.75,25,1.25,58.75,33.75,150,0,1103.401,232.8845215,172.1154785,7.496283054,45.040754382,-118.973884766
"21","BCS6","Bridge Creek",2001,2022,4,36.25,7.5,40,0,51.25,40,0,0.651041667,953.766,57.43356705,12.43356705,20.76551819,45.028601105,-118.973792994
"22","BCS7","Bridge Creek",2001,2022,2,46.25,10,38.75,0,62.5,30,0,0.78125,977.136,168.3451691,123.3451691,12.12686634,45.062504035,-118.963862868
"23","BCS8","Bridge Creek",2001,2022,3,26.25,22.5,31.25,0,50,27.5,50,6.770833333,1019.822,169.2501984,124.2501984,29.16587448,45.064907091,-118.962573585
"24","H1","School",2005,2021,4,63.75,21.25,2.5,5,36.25,41.25,0,0,1331.263,34.88743973,10.11256027,3.482126713,46.29348527,-117.5343066
"25","H10","School",2005,2021,4,7.5,13.25,43,2.75,36.25,47.25,800,4.81771,1413.04,85.55924225,40.55924225,22.1185627,46.28661109,-117.5946108
"26","H12","School",2005,2021,4,48.75,26.25,28.75,6.25,45,38.75,600,0,1360.312,33.15910339,11.84089661,16.85352516,46.29206069,-117.5839002
"27","H15","School",2005,2021,4,51.25,28.75,43.75,2.5,46.25,41.25,800,2.47396,1431.98,316.6022949,88.39770508,23.15473366,46.26809684,-117.5137322
"28","H18","School",2005,2021,4,2.5,28.75,47.5,7.5,48.75,46.25,2200,0.52083,1600.198,59.93489075,14.93489075,16.11786842,46.24760116,-117.6030707
"29","H2","School",2005,2021,4,11.25,25,27.5,20,27.5,30,400,0,1394.811,346.0878601,58.91213989,9.550437927,46.27721889,-117.5405843
"30","HRCN1","Hash Rock",2000,2022,1,35,22.5,1.25,12.5,46.25,38.75,2050,36.97916667,1246.012,5.38483429,39.61516571,17.9909935,44.458778186,-120.539495837
"31","HRCN2","Hash Rock",2000,2022,0,16.25,12.5,0,7.5,26.25,58.75,1050,56.51041667,1554.802,335.1839294,69.81607056,4.313822269,44.437107447,-120.543240558
"32","HRCN3","Hash Rock",2000,2022,1,32.5,31.25,0,20,45,52.5,3050,39.32291667,1382.672,13.59962559,31.40037441,17.31540871,44.467826795,-120.442668058
"33","HRCS1","Hash Rock",2000,2022,1,32.5,18.75,0,0,40,37.5,0,30.98958333,1374.575,176.597168,131.597168,13.3529129,44.471714096,-120.434591835
"34","HRCS2","Hash Rock",2000,2022,2,45,48.75,0,0,60,40,0,42.70833333,1381.243,145.3994751,100.3994751,2.988833189,44.474519269,-120.432851341
"35","HRCS4","Hash Rock",2000,2022,2,6.25,10,7.5,0,12.5,75,0,54.94791667,1408.684,189.05336,144.05336,23.9090004,44.457256858,-120.474233302
"36","HRN1","Hash Rock",2000,2022,4,32.5,6.25,63.75,0,62.5,35,0,0.651041667,1333.262,4.638800144,40.36119986,15.09740734,44.471697515,-120.542396321
"37","HRN10","Hash Rock",2000,2022,3,11.25,5,22.5,41.25,55,42.5,14800,6.380208333,1542.665,4.144799709,40.85520029,4.027786255,44.484556304,-120.438143041
"38","HRN11","Hash Rock",2000,2022,4,45,18.75,38.75,2.5,52.5,28.75,450,0,1483.727,25.90023613,19.09976387,19.22698212,44.473558838,-120.447936914
"39","HRN2","Hash Rock",2000,2022,4,12.5,2.5,31.25,0,30,43.75,50,0.911458333,1376.535,7.20430088,37.79569912,19.98384094,44.470704422,-120.542380917
"40","HRN3","Hash Rock",2000,2022,3,37.5,13.75,40,7.5,48.75,41.25,700,0.651041667,1307.112,10.6736002,34.3263998,16.35745049,44.471192015,-120.537348829
"41","HRN5","Hash Rock",2000,2022,4,0,2.5,10,45,51.25,32.5,29000,14.0625,1571.125,348.9343262,56.06567383,14.01223755,44.483361403,-120.437994739
"42","HRN6","Hash Rock",2000,2022,2,40,10,27.5,0,36.25,26.25,50,0.78125,1472.731,358.5608826,46.43911743,3.433315992,44.469371668,-120.457587332
"43","HRN8","Hash Rock",2000,2022,3,27.5,16.25,75,8.75,75,23.75,1700,4.947916667,1511.414,13.95834732,31.04165268,16.91917801,44.474899831,-120.451330801
"44","HRN9","Hash Rock",2000,2022,3,1.25,2.5,67.5,0,55,23.75,250,0.260416667,1585.105,330.478241,74.52175903,30.00283623,44.440448717,-120.537328874
"45","HRS1","Hash Rock",2000,2022,3,21.25,6.25,41.25,0,37.5,58.75,50,0,1350.63,205.5019836,160.5019836,9.059536934,44.47388828,-120.542473786
"46","HRS10","Hash Rock",2000,2022,3,11.25,12.5,42.5,2.5,52.5,42.5,300,7.291666667,1474.637,180.1112823,135.1112823,12.70377254,44.459986745,-120.468400296
"47","HRS11","Hash Rock",2000,2022,3,17.5,20,36.25,2.5,42.5,40,300,15.10416667,1417.091,192.5201111,147.5201111,31.53470039,44.458806746,-120.469402571
"48","HRS12","Hash Rock",2000,2022,2,3.75,5,30,3.75,33.75,45,750,30.859375,1394.263,203.4903564,158.4903564,19.76654053,44.458101458,-120.471435052
"49","HRS2","Hash Rock",2000,2022,3,17.5,1.25,43.75,0,41.25,18.75,0,2.473958333,1385.659,184.6825714,139.6825714,24.3121109,44.475486093,-120.540499535
"50","HRS3","Hash Rock",2000,2022,3,3.75,2.5,71.25,1.25,46.25,45,100,1.5625,1416.373,181.4656067,136.4656067,20.44864273,44.476860835,-120.538928776
"51","HRS4","Hash Rock",2000,2022,4,10,5,77.5,0,52.5,35,50,1.041666667,1416.372,183.1878357,138.1878357,15.93197632,44.477715969,-120.541076783
"52","HRS6","Hash Rock",2000,2022,3,47.5,2.5,57.5,0,56.25,36.25,0,1.302083333,1530.116,184.374054,139.374054,7.753276348,44.473653783,-120.45437738
"53","HRS7","Hash Rock",2000,2022,3,27.5,6.25,36.25,0,37.5,37.5,0,0.911458333,1519.851,173.0963593,128.0963593,13.95180416,44.473494384,-120.456515886
"54","HRS8","Hash Rock",2000,2022,4,20,10,55,0,48.75,22.5,0,0.78125,1434.375,184.3958435,139.3958435,13.35373592,44.467842973,-120.457295014
"55","L1","School",2005,2021,2,1,38.75,31.25,27.5,43.75,51.25,0,24.4792,1386.675,31.02323341,13.97676659,12.39864731,46.28609424,-117.5559544
"56","L10","School",2005,2021,1,0.25,38.75,6.25,9,42.5,52.5,800,50.7813,1486.298,20.39655113,24.60344887,4.871039391,46.28022615,-117.575517
"57","L12","School",2005,2021,1,10.25,23.75,6.25,7.5,38.75,53,600,49.4792,1415.734,97.65794373,52.65794373,21.60890579,46.28773406,-117.5831735
"58","L13","School",2005,2021,2,56.25,26.25,16.25,0,40,32.5,800,4.6875,1381.929,345.141571,59.85842896,5.826583385,46.28392746,-117.5441506
"59","L14","School",2005,2021,1,13.75,42.5,15,2.5,46.25,53.75,0,46.3542,1411.416,279.2493896,125.7506104,14.47460365,46.28296335,-117.5608804
"60","L15","School",2005,2021,2,7.25,40,15,6.25,36.25,55,3600,50.7813,1403.966,80.6003952,35.6003952,9.931575775,46.28268066,-117.5555839
