X,Long,Lat,postdisturbance_nbr,delta_nbr,relative_regrowth,pct_recovery,postfire_fitted_rsq,postfire_fitted_slope,cluster,x_y,Plot,fire,canopy_cover,veg_height,hli,cwd_present,cwd_future,elevation,TE_future,TE_present,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,predisturbance_nbr,disturbance_nbr,dnbr,absolute_regrowth,max.postfire.nbr,time_to_0.8recovery,time_to_0.6recovery,postfire_ppt,postfire_tmin,postfire_tmax,postfire_vpdmin,postfire_vpdmax,postfire_tmean,precip,tmean,vpdmax,re.0gen_prob
332,-119.375172128823,43.8184676505641,-2.2138676404953,-327.495749354362,0.416327306756206,0.528683350594911,0.607627961715233,24.6166889746111,2,-119.375172128823_43.8184676505641,NA,Egley,45,110,156,576,707,1574,Y,N,229.448669433594,344.827575683594,348.352386474609,304.029296875,326.706420898438,296.718475341797,329.475830078125,337.241394042969,357.669372558594,378.349395751953,-412.159332275391,-321.692413330078,-12.4621086120605,-2.37690997123718,-12.8122997283936,27.3593597412109,23.4036407470703,-19.230770111084,27.9394645690918,95.7622451782227,171.971115112305,115.209838867188,68.3834075927734,163.302749633789,325.281881713867,-366.925872802734,790.508728027344,57.277366352596,171.971115112305,NA,NA,427.909050115228,-2.27692636142479,13.4489841130982,0.899681859067756,13.6034158747822,5.58602887583671,404.56648127594,5.96406586087194,14.3590040666718,NA
333,-119.376193832,43.697205565,-136.395337677002,-446.596706390381,-1.23625560462575,-0.202064901521799,0.478136802239034,8.29691427880591,2,-119.376193832_43.697205565,EG-4-2,Egley,45,110,182,529,653,1692,Y,N,275.971466064453,285.103363037109,244.526901245117,245.437622070312,298.548461914062,346.7255859375,309.090911865234,366.861602783203,353.082458496094,376.665313720703,-208.435501098633,-238.428619384766,-78.0189971923828,-134.126724243164,-167.477813720703,-144.740463256836,-122.876556396484,-147.122695922852,-123.316062927246,-106.50887298584,-101.336570739746,-78.6056060791016,-86.2150650024414,-62.6808090209961,310.201368713379,-223.432060241699,585.100814819336,-165.056495166246,-62.6808090209961,NA,NA,427.054120332081,-1.32971308869909,12.6353075301156,1.36876694048808,12.8513902789063,5.65279722070825,437.994404808571,6.00410033219795,12.9891727607209,0.397146672010422
334,-119.376362464151,43.8257569433768,-41.4082513093948,-241.128846096993,1.275085438798,0.344834350301499,0.440380605119816,19.0480176246428,2,-119.376362464151_43.8257569433768,NA,Egley,25,110,198,576,707,1574,Y,N,182.899383544922,216.15202331543,225.653213500977,214.190979003906,201.09814453125,185.508224487305,195.83332824707,170.648468017578,203.051223754883,202.170959472656,-443.448272705078,-364.096801757812,-124.645889282227,-45.1058616638184,-1.48765254020691,-21.2418308258057,31.527889251709,5.3995680809021,-24.6278762817383,61.3254203796387,68.8705215454102,14.1915864944458,-0.800213396549225,17.6144943237305,199.720594787598,-403.772537231445,645.619232177734,146.435366131685,68.8705215454102,NA,NA,427.909050115228,-2.27692636142479,13.4489841130982,0.899681859067756,13.6034158747822,5.58602887583671,430.733821150113,5.75213255932444,14.0098169979754,NA
335,-119.376774435,43.8321037,44.0462465286255,-143.600253105164,1.68129319790807,1.389078569064,0.762634583824648,37.0175281147381,1,-119.376774435_43.8321037,EG-3-3,Egley,25,110,195,561,689,1505,Y,N,172.895782470703,144.186050415039,193.50732421875,201.560470581055,177.857849121094,191.32405090332,164.10417175293,207.171310424805,194.322402954102,229.535583496094,-412.742370605469,-355.392944335938,-35.5029602050781,-13.5043888092041,53.9861907958984,32.6283988952637,109.74178314209,65.3146438598633,135.150985717773,187.385025024414,260.655731201172,213.891082763672,206.349212646484,255.17643737793,187.646499633789,-384.067657470703,642.277954101562,177.141213066002,260.655731201172,9,8,427.909050115228,-2.27692636142479,13.4489841130982,0.899681859067756,13.6034158747822,5.58602887583671,441.270106296386,5.67819016904785,13.909137050896,0.365034013986588
336,-119.377865787322,43.7422954529703,140.327517127991,-184.330687522888,0.82671110314696294,1.489328557446,0.863312397505142,49.3867325520778,1,-119.377865787322_43.7422954529703,NA,Egley,45,110,174,547,676,1604,Y,N,255.341506958008,309.985107421875,331.133117675781,301.408447265625,301.833557128906,302.325592041016,318.738403320312,353.310119628906,347.227386474609,425.27880859375,-266.121704101562,-239.88557434082,-19.9362049102783,49.4526252746582,108.527130126953,91.8532943725586,148.71794128418,214.836791992188,308.335723876953,335.653106689453,405.720336914062,445.099090576172,483.522735595703,318.399047851562,324.658204650879,-253.003639221191,691.400512695312,103.664270793938,483.522735595703,8,7,398.303433222944,-1.97581276749976,13.4399924728451,1.04532065230409,13.6750116712793,5.7320898526727,414.497019347842,5.74692826520305,13.7479215635342,0.434363782405853
337,-119.377945136449,43.6920468019622,-39.8904810905457,-470.594042491913,-0.907507157216118,0.659097996702301,0.866534018703338,39.8291021310366,2,-119.377945136449_43.6920468019622,NA,Egley,55,111,187,529,653,1709,Y,N,454.387481689453,390.414154052734,458.715606689453,446.546417236328,461.044921875,390.004669189453,414.389801025391,394.898864746094,446.864105224609,449.769592285156,-167.883209228516,-234.66667175293,-130.36164855957,-6.33914422988892,-150.052459716797,-57.3248405456543,-7.885657787323,-83.7314529418945,-13.9534883499146,96.8194580078125,188.591094970703,225.247528076172,248.267013549805,283.875854492188,430.703561401367,-201.274940490723,617.652801513672,-132.163028115901,283.875854492188,NA,13,427.054120332081,-1.32971308869909,12.6353075301156,1.36876694048808,12.8513902789063,5.65279722070825,428.544531356906,6.00299875835546,13.0389050461974,0.406101495027542
338,-119.377964061117,43.7713113466282,-110.659435653687,-274.100614547729,-0.1291605213765,-0.0338033649168259,0.481778423567794,12.8311547735235,2,-119.377964061117_43.7713113466282,NA,Egley,35,110,169,591,723,1542,Y,N,157.378204345703,153.981063842773,196.611358642578,160.337554931641,168.7763671875,166.784454345703,163.837890625,150.070129394531,135.749816894531,180.884948730469,-320.754730224609,-276.744171142578,-87.2632751464844,-40.1459846496582,-134.557601928711,-113.801452636719,-145.089279174805,-77.9679412841797,-124.421455383301,-77.5468826293945,-29.0563125610352,-51.9446601867676,-5.52486181259155,-16.0621757507324,163.441178894043,-298.749450683594,501.639678955078,-11.2063283390831,-5.52486181259155,NA,NA,373.216426629847,-1.98141212372787,13.9905498706827,1.01814493795904,14.3408316384709,6.00456887347739,387.694656790969,6.03117303699147,14.514568843552,0.363615363836288
339,-119.3786034687,43.7956637478462,67.7934925079346,-397.534656906128,0.710797830489909,0.504387897307223,0.598042905712971,32.8972044934283,2,-119.3786034687_43.7956637478462,NA,Egley,55,111,151,606,739,1544,Y,N,392.640502929688,504.817749023438,485.001953125,429.135406494141,427.385894775391,471.981048583984,459.788787841797,497.615264892578,485.504272460938,499.410614013672,-412.931030273438,-379.632720947266,-66.5251235961914,87.6589889526367,47.8723411560059,91.5538330078125,162.30696105957,119.594596862793,215.293014526367,165.107147216797,234.70588684082,188.655975341797,171.648696899414,225.674087524414,465.328149414063,-396.281875610352,912.341644287109,130.810998453198,234.70588684082,NA,NA,373.216426629847,-1.98141212372787,13.9905498706827,1.01814493795904,14.3408316384709,6.00456887347739,366.697549711277,6.34749928259928,14.9161025676903,0.449047356843948
340,-119.378723012947,43.8325090931421,133.401853179932,-179.937419891357,2.06795974406224,0.993750543766671,0.302207569697092,22.969235263028,1,-119.378723012947_43.8325090931421,NA,Egley,45,110,197,561,689,1574,Y,N,271.479919433594,234.482757568359,306.107696533203,363.862274169922,297.256683349609,265.813537597656,326.923065185547,375.690612792969,337.451751708984,354.324432373047,-351.718933105469,-290,71.6216201782227,100.69930267334,293.694885253906,269.791015625,311.381072998047,45.0845336914062,89.8058242797852,200.449188232422,241.491088867188,189.001602172852,249.055511474609,286.148742675781,313.33927307128903,-320.859466552734,706.043365478516,260.598783248322,311.381072998047,4,4,427.909050115228,-2.27692636142479,13.4489841130982,0.899681859067756,13.6034158747822,5.58602887583671,441.270106296386,5.67819016904785,13.909137050896,0.365034013986588
341,-119.379149749163,43.7133576863282,4.95024375915527,-379.035934829712,-0.0553324701296916,0.787755709851662,0.93242697452502,49.0990208217076,1,-119.379149749163_43.7133576863282,NA,Egley,45,110,183,490,615,1738,N,N,390.579956054688,378.432678222656,382.140502929688,344.217681884766,370.718597412109,401.895416259766,344.698272705078,369.035369873047,395.398223876953,462.745086669922,-314.940582275391,-341.997772216797,-107.73787689209,-83.4191589355469,-94.5634231567383,-33.4807319641113,63.4670028686523,43.1112442016602,158.298873901367,207.360610961914,238.463668823242,293.201873779297,289.668395996094,302.4873046875,383.986178588867,-328.469177246094,777.685668945312,-8.60020042119476,302.4873046875,NA,10,427.054120332081,-1.32971308869909,12.6353075301156,1.36876694048808,12.8513902789063,5.65279722070825,456.676086916746,5.86865746102901,12.4151892002244,NA
