"","x_y","Long","Lat","Plot","fire","canopy_cover","veg_height","hli","cwd_present","cwd_future","elevation","TE_future","TE_present","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","predisturbance_nbr","postdisturbance_nbr","disturbance_nbr","delta_nbr","dnbr","absolute_regrowth","relative_regrowth","max.postfire.nbr","pct_recovery","time_to_0.8recovery","time_to_0.6recovery","postfire_ppt","postfire_tmin","postfire_tmax","postfire_vpdmin","postfire_vpdmax","postfire_tmean"
"25","-118.824737391_44.038454561",-118.824737391,44.038454561,"CA-3-2","Calamity",55,111,174,558,690,1726,"Y","N",436,527,505,448,508,487,462,418,482,425,0,0,0,0,23,0,0,61,21,1,66,55,0,62,469.8,17.2,0,-452.6,425,-154.761256776157,-1.34616077311232,66,0.140485312899106,NA,NA,519.883072209697,0.23931562542864,11.8450904753037,1.98762845395272,11.9412350056932,6.04220305036617
"26","-118.827308033_44.045689978",-118.827308033,44.045689978,"CA-1-2","Calamity",55,111,168,567,701,1729,"Y","N",556,552,539,537,540,505,424,453,528,457,0,0,0,0,0,0,0,0,0,0,0,21,0,0,509.1,0,0,-509.1,457,-185.762038932914,-1.59144820459488,21,0.0412492634060106,NA,NA,519.883072209697,0.23931562542864,11.8450904753037,1.98762845395272,11.9412350056932,6.04220305036617
"27","-118.830563235_44.039559347",-118.830563235,44.039559347,"CA-2-2","Calamity",45,110,121,558,690,1726,"Y","N",425,479,475,490,443,457,446,442,459,440,0,0,0,0,0,0,0,6,40,41,129,132,120,142,455.6,21.6,0,-434,440,-173.148701559577,-1.50356119086742,142,0.311676909569798,NA,NA,519.883072209697,0.23931562542864,11.8450904753037,1.98762845395272,11.9412350056932,6.04220305036617
"28","-118.830700875_44.046038073",-118.830700875,44.046038073,"CA-1-1","Calamity",55,110,210,567,701,1729,"Y","N",400,413,454,442,416,429,421,427,504,467,0,0,0,0,0,0,0,73,122,112,201,216,237,306,437.3,50.8,0,-386.5,467,-177.232269967171,-1.53338394397091,306,0.699748456437228,NA,13,519.883072209697,0.23931562542864,11.8450904753037,1.98762845395272,11.9412350056932,6.04220305036617
"29","-118.83653726_44.040542583",-118.83653726,44.040542583,"CA-B5-3","Calamity",45,110,133,567,701,1689,"Y","N",322,355,354,334,405,346,277,303,329,309,0,0,0,67,255,301,382,406,371,419,506,427,423,485,333.4,270.7,0,-62.7,309,176.240845268519,2.27679590339317,506,1.51769646070786,5,4,519.883072209697,0.23931562542864,11.8450904753037,1.98762845395272,11.9412350056932,6.04220305036617
"30","-118.838025014_44.042796589",-118.838025014,44.042796589,"CA-B3-3","Calamity",45,110,147,548,678,1675,"Y","N",312,372,368,360,361,370,337,328,379,267,0,0,0,0,148,231,364,425,500,535,583,566,362,472,345.4,278.6,0,-66.8,267,128.103446672927,1.40776530985248,583,1.68789808917197,6,5,519.883072209697,0.23931562542864,11.8450904753037,1.98762845395272,11.9412350056932,6.04220305036617
"31","-118.963112553_45.054521163",-118.963112553,45.054521163,"BCN10","BC",55,110,56,569,707,920,"Y","N",467,432,589,617,598,555,641,534,536,635,0,168,257,299,234,249,268,181,294,333,341,308,355,314,560.4,262.4,84,-298,635,-43.9222843054686,-0.449559584158419,355,0.633476088508208,NA,10,450.493418887503,1.17088333090003,15.2964895453453,1.4091898477721,14.6280954951113,8.23368643812269
"32","-118.973792994_45.028601105",-118.973792994,45.028601105,"BCS6","BC",35,110,92,633,771,989,"Y","N",421,549,512,506,570,468,506,476,492,503,66,193,293,263,210,243,295,199,298,315,288,245,188,215,500.3,259.7,129.5,-240.6,437,-38.1379082226454,-0.565665376848283,315,0.629622226664002,NA,9,450.493418887503,1.17088333090003,15.2964895453453,1.4091898477721,14.6280954951113,8.23368643812269
"33","-118.97464866_45.046283248",-118.97464866,45.046283248,"BCN4","BC",55,111,185,575,713,1006,"Y","N",496,533,597,652,598,572,562,505,583,509,8,67,117,76,104,121,161,34,138,167,47,112,114,174,560.7,103.2,37.5,-457.5,501,-119.428309766384,-1.00926106239989,174,0.310326377742108,NA,NA,461.994244944837,1.36385881928926,15.1226103308388,1.48723857510119,14.4212372460179,8.24323457506403
"34","-118.975480973_45.049574189",-118.975480973,45.049574189,"BCN6","BC",45,111,105,575,713,1006,"Y","N",464,604,566,596,605,574,624,615,635,542,99,209,284,279,273,211,268,292,328,281,223,338,296,293,582.5,264.8,154,-317.7,443,-61.8511066907557,-0.613337003736381,338,0.580257510729614,NA,NA,461.994244944837,1.36385881928926,15.1226103308388,1.48723857510119,14.4212372460179,8.24323457506403
