"","Plot","Fire","x_y","Long","Lat","grass.pct","herb.pct","shrub.pct","seedling.pct","green.pct","npv.pct","aspect","slope","seedling.density","densiometer","dom.tree.spp","dom.seedling.spp","young.tree.density","regen.density","year"
"19","M26","School","-117.6325552_46.24204831",-117.6325552,46.24204831,3.75,30,43.75,22.5,48.75,27.5,-0.342705553782057,32.60638428,1000,1.43229,"ABGR","ABGR",0,1000,2022
"20","M27","School","-117.6024083_46.2467702",-117.6024083,46.2467702,0,21.25,55,50,67.5,42.5,-0.342705554288358,17.96887779,0,1.5625,"?","ABGR",25,25,2022
"21","M28","School","-117.5135114_46.28296352",-117.5135114,46.28296352,13.75,16.25,37.5,36.25,50,37.5,-0.342705689219172,37.43136978,2000,1.82292,"PSME","ABGR",0,2000,2022
"22","M29","School","-117.5078939_46.28385453",-117.5078939,46.28385453,16.25,67.5,30,8.75,60,30,-0.342705670134645,32.58668137,3200,2.08333,"PSME","PSME",0,3200,2022
"23","M4","School","-117.5618789_46.25715141",-117.5618789,46.25715141,3.75,22.5,63.75,0,52.5,47.5,-0.342705699149792,18.56039238,4800,31.25,"PIPO","ABGR",200,5000,2022
"24","CA-1-1","Calamity","-118.830700875_44.046038073",-118.830700875,44.046038073,30.625,17.5,25,0,46.875,45,-0.342705781836829,6,100,0.1953125,"PIPO","PIPO",0,100,2023
"25","CA-1-2","Calamity","-118.827308033_44.045689978",-118.827308033,44.045689978,40,46.25,1.875,2.5,55,25.625,-0.342705660336301,8,175,2.34375,"PIPO","PIPO",0,175,2023
"26","CA-2-2","Calamity","-118.830563235_44.039559347",-118.830563235,44.039559347,28.75,32.5,40.625,12.5,67.5,14.375,-0.342705574638695,16,450,8.07291666666667,"PIPO","PIPO",0,450,2023
"27","CA-2-3","Calamity","-118.797845319_43.999130173",-118.797845319,43.999130173,22.5,21.25,78.75,0,55,40,-0.342705785839929,8,150,3.515625,"PIPO","JUOC-PIPO",0,150,2023
"28","CA-3-2","Calamity","-118.824731437_44.038452097",-118.824731437,44.038452097,22.5,40,11.25,17.5,62.5,18.75,-0.342705658266593,14,1150,9.04947916666667,"PICO","PIPO",0,1150,2023
"29","CA-4-1","Calamity","-118.806875456_43.993536097",-118.806875456,43.993536097,28.75,32.5,70,3.75,72.5,16.25,-0.342705570911123,15,50,2.47395833333333,"PIPO","PIPO",0,50,2023
"30","CA-B3-3","Calamity","-118.838025014_44.042796589",-118.838025014,44.042796589,83.75,12.5,66.25,0,71.25,20,-0.342705549536301,14,100,0.260416666666667,"PIPO","LAOC-PIPO",0,100,2023
"31","CA-B5-3","Calamity","-118.83653726_44.040542583",-118.83653726,44.040542583,85,12.5,78.75,0,61.25,38.75,-0.342705553888178,16,0,2.99479166666667,"PIPO","-",0,0,2023
"32","EA-1-1","Easy","-118.512452886_44.491765645",-118.512452886,44.491765645,3.125,32.5,20,67.5,90,7.5,-0.342705744827534,13,19500,64.84375,"PICO","PICO",0,19500,2023
"33","EA-1-2","Easy","-118.498991037_44.478015733",-118.498991037,44.478015733,63.75,9.375,20,10,80,15.625,-0.342705726140591,4,1100,56.1197916666667,"?","PICO",475,1575,2023
"34","EA-2-3","Easy","-118.517857253_44.474844237",-118.517857253,44.474844237,13.75,3.125,86.25,10.625,67.5,31.25,-0.342705660336621,16,550,10.4166666666667,"?","PIPO",25,575,2023
"35","EA-3-2","Easy","-118.514233482_44.482945153",-118.514233482,44.482945153,6.25,12.5,46.875,28.75,74.375,23.75,-0.342705553329124,12,1750,40.8854166666667,"?","LAOC",350,2100,2023
"36","EA-3-3","Easy","-118.514554513_44.49955717",-118.514554513,44.49955717,19.375,3.125,93.75,17.5,57.5,40,-0.342705770145288,16,1000,17.96875,"?","PICO",75,1075,2023
"37","EA-4-3","Easy","-118.494419441_44.490646943",-118.494419441,44.490646943,17.5,6.875,83.75,5,55.625,42.5,-0.342705685165192,12,250,6.38020833333333,"PIPO","PICO",25,275,2023
"38","EA-5-1","Easy","-118.502220832_44.501116083",-118.502220832,44.501116083,6.25,15,45,46.25,61.25,32.5,-0.342705549536301,15,7750,44.53125,"?","LAOC",200,7950,2023
"39","EA-5-2","Easy","-118.502206246_44.492083176",-118.502206246,44.492083176,0,40.625,31.25,38.75,63.75,25.625,-0.342705549317274,8,7000,54.296875,"?","PICO",75,7075,2023
"40","EA-5-3","Easy","-118.479230509_44.502956513",-118.479230509,44.502956513,23.125,14.375,91.25,43.75,72.5,27.5,-0.342705747941131,13,4000,52.2135416666667,"?","PICO",0,4000,2023
"41","EA-B3-2","Easy","-118.514740603_44.485867621",-118.514740603,44.485867621,11.25,35.625,40,23.125,63.75,25.625,-0.342705559606286,4,2250,37.109375,"?","PICO",325,2575,2023
"42","EG-1-1","Egley","-119.383671504_43.787999621",-119.383671504,43.787999621,12.5,5,88.75,1.25,70,28.125,-0.342705590421883,4,275,8.52864583333333,"PIPO","PIPO",0,275,2023
"43","EG-1-2","Egley","-119.401692156_43.842209204",-119.401692156,43.842209204,13.75,25,40,18.75,56.875,26.875,-0.342705695345429,8,2250,0,"PIPO","PIPO",0,2250,2023
"44","EG-1-X","Egley","-119.38951632_43.779260876",-119.38951632,43.779260876,42.5,15,5,2.5,35,48.125,-0.34270578482158,2,275,2.01822916666667,"PIPO","PIPO",0,275,2023
"45","EG-10-2","Egley","-119.390559401_43.762678861",-119.390559401,43.762678861,53.75,10,11.25,0,27.5,46.25,-0.342705711165198,1,25,0,"PIPO","PIPO",0,25,2023
"46","EG-11-1","Egley","-119.407927276_43.776763052",-119.407927276,43.776763052,8.75,10,72.5,1.875,21.875,56.875,-0.342705581417706,2,300,0,"PIPO?","PIPO",0,300,2023
"47","EG-11-2","Egley","-119.595008647_43.838174945",-119.595008647,43.838174945,26.25,15,13.125,0,40,20.625,-0.342705741620873,1,900,2.86458333333333,"JUOC","PIPO",0,900,2023
"48","EG-12-1","Egley","-119.373051135_43.686044582",-119.373051135,43.686044582,12.5,21.25,77.5,0,73.75,18.75,-0.342705705315417,8,100,0.260416666666667,"JUOC-PIPO","PIPO",0,100,2023
"49","EG-12-2","Egley","-119.412818004_43.762404877",-119.412818004,43.762404877,38.75,11.25,26.25,1.25,32.5,45,-0.342705614557694,3,400,3.515625,"PIPO","PIPO",0,400,2023
"50","EG-2-3","Egley","-119.299793337_43.858278216",-119.299793337,43.858278216,18.75,37.5,66.25,0,28.75,52.5,-0.342705741620873,2,175,4.296875,"JUOC","JUOC",0,175,2023
"51","EG-2-X","Egley","-119.389896942_43.728245585",-119.389896942,43.728245585,35,26.875,67.5,0.625,56.25,33.125,-0.342705624028134,3,175,2.01822916666667,"PIPO","PIPO",0,175,2023
"52","EG-3-2","Egley","-119.398529332_43.753288512",-119.398529332,43.753288512,31.25,18.75,23.75,1.25,27.5,45.625,-0.342705703341912,3,150,0,"PIPO?","PIPO",0,150,2023
"53","EG-3-3","Egley","-119.376774435_43.8321037",-119.376774435,43.8321037,35,28.75,63.75,0,43.75,40,-0.342705773186635,9,25,0,"PIPO","PIPO",0,25,2023
"54","EG-3-X","Egley","-119.294647911_43.855647194",-119.294647911,43.855647194,11.25,23.75,32.5,5,41.25,50,-0.342705566359399,2,1150,0,"PIPO","PIPO",0,1150,2023
"55","EG-4-1","Egley","-119.596256319_43.850772012",-119.596256319,43.850772012,37.5,13.75,56.875,0.625,43.125,42.5,-0.342705631848039,14,375,0.520833333333333,"PIPO","PIPO",0,375,2023
"56","EG-4-2","Egley","-119.376193832_43.697205565",-119.376193832,43.697205565,43.75,7.5,20,12.5,32.5,40,-0.342705563271776,1,1600,2.734375,"PIPO","PIPO",25,1625,2023
"57","EG-4-3","Egley","-119.367521316_43.825161155",-119.367521316,43.825161155,48.75,8.75,66.25,1.25,38.75,60,-0.342705549700482,21,175,10.8072916666667,"PIPO","PIPO",0,175,2023
"58","EG-5-1","Egley","-119.380719732_43.821988046",-119.380719732,43.821988046,72.5,6.25,62.5,0,41.25,58.75,-0.342705660336301,8,175,2.9296875,"PIPO","PIPO",0,175,2023
"59","EG-5-2","Egley","-119.433721128_43.826353169",-119.433721128,43.826353169,26.25,21.25,31.25,0,45,25,-0.342705645930189,8,275,1.10677083333333,"PIPO","PIPO",0,275,2023
"60","EG-6-2","Egley","-119.419704109_43.728326598",-119.419704109,43.728326598,42.5,11.875,33.125,1.25,38.75,29.375,-0.342705681050924,2,400,0,"JUOC","PIPO",0,400,2023
"61","EG-6-3","Egley","-119.339349862_43.633328522",-119.339349862,43.633328522,42.5,11.25,65,0,36.25,48.75,-0.342705618301152,4,25,0,"-","PIPO",0,25,2023
"62","EG-7-1","Egley","-119.371444232_43.82988332",-119.371444232,43.82988332,61.25,27.5,43.75,0,36.25,47.5,-0.342705566359399,20,0,0.455729166666667,"PIPO","-",0,0,2023
"63","EG-7-3","Egley","-119.389555461_43.819497068",-119.389555461,43.819497068,13.75,13.75,63.75,0.625,23.75,58.75,-0.342705729718037,10,75,1.69270833333333,"PIPO","PIPO",0,75,2023
"64","EG-8-1","Egley","-119.305205962_43.833800707",-119.305205962,43.833800707,55,25,17.5,0,32.5,45,-0.342705782970941,24,125,0,"JUOC","JUOC",0,125,2023
"65","EG-8-2","Egley","-119.40432966_43.774274536",-119.40432966,43.774274536,48.75,12.5,5,6.25,27.5,40,-0.342705555775023,3,900,0.651041666666667,"PIPO","PIPO",0,900,2023
"66","EG-8-3","Egley","-119.384450062_43.824674242",-119.384450062,43.824674242,83.75,18.75,57.5,0,38.125,59.375,-0.342705570911123,4,125,0.716145833333333,"PIPO","PIPO",0,125,2023
"67","EG-9-3","Egley","-119.393399631_43.707399428",-119.393399631,43.707399428,23.75,8.75,66.25,1.25,42.5,32.5,-0.342705783966251,2,100,0,"PIPO?","PIPO",0,100,2023
"68","EG-B1-1","Egley","-119.381338595_43.824272657",-119.381338595,43.824272657,21.25,8.75,67.5,1.25,40.625,47.5,-0.342705582855011,3,500,0.260416666666667,"PIPO","PIPO",0,500,2023
"69","EG-B3-2","Egley","-119.39503267_43.773570477",-119.39503267,43.773570477,51.25,6.875,10,0,23.75,43.75,-0.342705580007344,2,1400,3.90625,"PIPO","PIPO",0,1400,2023
"70","EG-B7-2","Egley","-119.399193691_43.75943034",-119.399193691,43.75943034,40,11.25,16.25,6.25,33.75,46.25,-0.342705560473414,1,500,1.69270833333333,"PIPO","PIPO",25,525,2023
"71","EG-B8-1","Egley","-119.38005754_43.703868491",-119.38005754,43.703868491,28.75,7.5,75,0,72.5,15,-0.342705609066111,4,0,0.716145833333333,"PIPO","-",0,0,2023
"72","EG-B9-1","Egley","-119.374286218_43.829604722",-119.374286218,43.829604722,11.25,5,31.25,0,23.75,18.75,-0.34270555013792,4,0,0,"PIPO","-",0,0,2023
"73","FL-10-1","Flagtail","-119.189834631_44.186306696",-119.189834631,44.186306696,81.25,33.75,76.25,16.25,75,22.5,-0.342705558772447,16,750,4.55729166666667,"PIPO","PIPO",0,750,2023
"74","FL-4-2","Flagtail","-119.201183193_44.170926427",-119.201183193,44.170926427,47.5,23.75,6.875,0,45,31.25,-0.342705550720321,11,225,1.82291666666667,"?","PIPO",125,350,2023
"75","FL-5-1","Flagtail","-119.182763699_44.201019306",-119.182763699,44.201019306,36.25,27.5,68.75,0,48.75,48.125,-0.342705701357866,12,150,0,"PIPO","PIPO",75,225,2023
"76","FL-5-2","Flagtail","-119.204682614_44.17341242",-119.204682614,44.17341242,13.125,20.625,3.75,8.75,43.75,15,-0.342705580007344,2,400,5.53385416666667,"PIPO","PIPO",175,575,2023
"77","FL-6-2","Flagtail","-119.195086347_44.179283706",-119.195086347,44.179283706,32.5,22.5,72.5,36.25,88.75,8.75,-0.342705729718037,10,1250,34.2447916666667,"PIPO","PIPO",0,1250,2023
"78","FL-7-1","Flagtail","-119.183264092_44.17897627",-119.183264092,44.17897627,70,27.5,61.25,1.25,48.75,42.5,-0.342705744827534,6,550,3.515625,"PIPO","PIPO",0,550,2023
"79","FL-9-2","Flagtail","-119.17446557_44.197868422",-119.17446557,44.197868422,62.5,11.25,11.875,18.125,67.5,30,-0.342705764462873,10,1300,18.4895833333333,"PICO-PIPO","PIPO",75,1375,2023
"80","FL-B5-2","Flagtail","-119.20991948_44.155743479",-119.20991948,44.155743479,48.125,26.25,27.5,59.375,82.5,15,-0.342705618301152,10,26250,37.3697916666667,"PICO","PICO",0,26250,2023
"81","FL-B7-3","Flagtail","-119.180094152_44.203420158",-119.180094152,44.203420158,45,10.625,57.5,33.125,55.625,39.375,-0.342705666556507,4,550,19.921875,"PIPO","PIPO",75,625,2023
"82","WH-1-1","Wheeler","-119.854064861_44.939279198",-119.854064861,44.939279198,18.125,10,55,3.75,85,11.875,-0.342705727938306,19,600,57.03125,"PIPO","PIPO",575,1175,2023
"83","WH-1-2","Wheeler","-119.873846052_44.952720836",-119.873846052,44.952720836,88.75,8.75,27.5,0,62.5,36.875,-0.34270578482164,15,50,17.7734375,"PIPO","JUOC",75,125,2023
"84","WH-1-3","Wheeler","-119.890142491_44.960611047",-119.890142491,44.960611047,22.5,6.25,80,0,70,18.75,-0.342705778403653,29,150,0,"PSME","PIPO",0,150,2023
"85","WH-1-X","Wheeler","-119.877714187_44.954237604",-119.877714187,44.954237604,91.25,7.5,0,0,27.5,72.5,-0.342705713089383,30,0,0,"PIPO","-",25,25,2023
"86","WH-2-1","Wheeler","-119.899516376_44.954966429",-119.899516376,44.954966429,2.5,12.5,56.25,0,51.25,18.75,-0.34270578553591,31,50,0.9765625,"PIPO","PIPO",0,50,2023
"87","WH-2-2","Wheeler","-119.865569131_44.949958746",-119.865569131,44.949958746,56.25,6.25,11.25,0,36.25,48.125,-0.3427056378302,18,200,42.7734375,"PIPO","LAOC",575,775,2023
"88","WH-2-3","Wheeler","-119.879273959_44.959343908",-119.879273959,44.959343908,17.5,15,85,2.5,92.5,7.5,-0.342705551446957,21,350,29.8828125,"PIPO","LAOC",725,1075,2023
"89","WH-2-X","Wheeler","-119.844086993_44.94162619",-119.844086993,44.94162619,76.25,0,11.875,0,38.125,58.125,-0.342705676920603,18,25,0.78125,"PSME","PIPO",0,25,2023
"90","WH-3-1","Wheeler","-119.82171311_44.955969166",-119.82171311,44.955969166,28.75,3.125,55,11.25,62.5,28.75,-0.342705643893944,22,275,15.1692708333333,"PIPO","PIPO",100,375,2023
"91","WH-3-2","Wheeler","-119.836275983_44.95296922",-119.836275983,44.95296922,30,6.25,86.25,0,82.5,17.5,-0.342705785839929,39,0,0,"PIPO","-",0,0,2023
"92","WH-3-X","Wheeler","-119.820143965_44.951722161",-119.820143965,44.951722161,47.5,14.375,72.5,0,86.25,13.75,-0.342705785839974,17,25,1.30208333333333,"PSME?","PIPO",0,25,2023
"93","WH-4-1","Wheeler","-119.808166488_44.951060925",-119.808166488,44.951060925,52.5,1.875,66.25,5,53.125,45,-0.342705782970941,9,500,33.3333333333333,"PIPO","PIPO",400,900,2023
"94","WH-4-2","Wheeler","-119.845723854_44.943278182",-119.845723854,44.943278182,81.25,1.25,24.375,0,52.5,37.5,-0.342705629875148,20,50,0.260416666666667,"PSME","JUOC",0,50,2023
"95","WH-5-1","Wheeler","-119.838445966_44.964470191",-119.838445966,44.964470191,8.75,2.5,93.75,0,78.75,18.125,-0.342705778403534,32,175,0,"PIPO","PIPO",25,200,2023
"96","WH-5-2","Wheeler","-119.840348197_44.954447069",-119.840348197,44.954447069,78.75,4.375,12.5,1.25,54.375,45,-0.342705761983157,12,375,13.0208333333333,"PIPO","PIPO",150,525,2023
"97","WH-5-3","Wheeler","-119.809468774_44.950182844",-119.809468774,44.950182844,27.5,3.75,67.5,12.5,53.75,32.5,-0.342705786699723,14,325,3.77604166666667,"PIPO","PIPO-PIPO",150,475,2023
"98","WH-6-3","Wheeler","-119.891720658_44.956480763",-119.891720658,44.956480763,30,10.625,68.75,0,72.5,25.625,-0.342705766825985,19,250,2.99479166666667,"PIPO","JUOC-PIPO",75,325,2023
"99","WH-7-3","Wheeler","-119.836292302_44.957627599",-119.836292302,44.957627599,36.25,10,42.5,20,59.375,37.5,-0.342705718776602,21,350,51.0416666666667,"PIPO","LAOC",550,900,2023
