"","x_y","Long","Lat","Plot","fire","canopy_cover","veg_height","hli","cwd_present","cwd_future","elevation","TE_future","TE_present","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","predisturbance_ndvi","postdisturbance_ndvi","disturbance_ndvi","delta_ndvi","dndvi","absolute_regrowth","relative_regrowth","max.postfire.ndvi","pct_recovery","time_to_0.8recovery","time_to_0.6recovery","postfire_ppt","postfire_tmin","postfire_tmax","postfire_vpdmin","postfire_vpdmax","postfire_tmean"
"23","-118.797845319_43.999130173",-118.797845319,43.999130173,"CA-2-3","Calamity",45,111,204,608,743,1602,"Y","N",611,618,639,603,605,587,631,613,649,649,209,249,252,498,554,612,601,573,655,655,669,680,728,732,620.5,531.8,229,-88.7,440,190.677206408633,1.99550343256025,732,1.17969379532635,3,3,459.838061750059,0.18735260671565,12.6698562188761,1.78537502813684,12.7290703607246,6.42860441279588
"24","-118.806875456_43.993536097",-118.806875456,43.993536097,"CA-4-1","Calamity",45,110,145,608,743,1586,"Y","N",643,653,655,613,651,614,630,637,636,669,254,271,321,473,502,442,526,571,559,596,637,588,658,665,640.1,489.8,262.5,-150.3,415,79.4139966871573,0.937034067837746,665,1.03890017184815,6,3,459.838061750059,0.18735260671565,12.6698562188761,1.78537502813684,12.7290703607246,6.42860441279588
"25","-118.824737391_44.038454561",-118.824737391,44.038454561,"CA-3-2","Calamity",55,111,174,558,690,1726,"Y","N",606,623,646,625,671,613,599,640,675,561,209,214,292,364,370,330,347,398,349,352,413,395,362,375,625.9,342.9,211.5,-283,352,-13.4828173601035,-0.141828443358979,413,0.659849816264579,NA,7,519.883072209697,0.23931562542864,11.8450904753037,1.98762845395272,11.9412350056932,6.04220305036617
"26","-118.827308033_44.045689978",-118.827308033,44.045689978,"CA-1-2","Calamity",55,111,168,567,701,1729,"Y","N",647,680,699,709,700,689,613,640,683,602,164,220,262,323,366,371,328,358,351,331,370,414,405,375,666.2,328,192,-338.2,438,-11.0773085707821,-0.10726804595863,414,0.621435004503152,NA,11,519.883072209697,0.23931562542864,11.8450904753037,1.98762845395272,11.9412350056932,6.04220305036617
"27","-118.830563235_44.039559347",-118.830563235,44.039559347,"CA-2-2","Calamity",45,110,121,558,690,1726,"Y","N",632,622,673,644,679,670,612,607,665,589,227,222,328,354,340,366,357,369,408,415,490,461,492,489,639.3,364.9,224.5,-274.4,362,-27.7525321322266,-0.313800260332903,492,0.769591740966682,NA,8,519.883072209697,0.23931562542864,11.8450904753037,1.98762845395272,11.9412350056932,6.04220305036617
"28","-118.830700875_44.046038073",-118.830700875,44.046038073,"CA-1-1","Calamity",55,110,210,567,701,1729,"Y","N",634,659,634,603,658,643,565,620,643,627,167,212,268,309,294,355,395,442,456,449,536,546,533,578,628.6,371.6,189.5,-257,460,-11.7750925865806,-0.122717393094838,578,0.919503658924594,10,6,519.883072209697,0.23931562542864,11.8450904753037,1.98762845395272,11.9412350056932,6.04220305036617
"29","-118.83653726_44.040542583",-118.83653726,44.040542583,"CA-B5-3","Calamity",45,110,133,567,701,1689,"Y","N",529,629,608,572,595,584,580,571,594,546,215,244,386,451,598,602,630,674,663,636,712,672,692,701,580.8,559.6,229.5,-21.1999999999999,331,235.061922717941,3.30226894822063,712,1.22589531680441,4,2,519.883072209697,0.23931562542864,11.8450904753037,1.98762845395272,11.9412350056932,6.04220305036617
"30","-118.838025014_44.042796589",-118.838025014,44.042796589,"CA-B3-3","Calamity",45,110,147,548,678,1675,"Y","N",577,597,590,569,614,610,583,571,580,532,165,206,374,358,521,527,652,639,734,704,743,726,613,695,582.3,545.8,185.5,-36.5,367,217.718241394231,2.73154614553796,743,1.275974583548,4,2,519.883072209697,0.23931562542864,11.8450904753037,1.98762845395272,11.9412350056932,6.04220305036617
"31","-118.963112553_45.054521163",-118.963112553,45.054521163,"BCN10","BC",55,110,56,569,707,920,"Y","N",528,425,613,622,653,586,620,548,618,650,279,430,534,569,466,490,495,475,604,562,598,630,643,590,586.3,522.3,354.5,-64,371,19.1009030327759,0.608793108935423,643,1.0967081698789,2,1,450.493418887503,1.17088333090003,15.2964895453453,1.4091898477721,14.6280954951113,8.23368643812269
"32","-118.973792994_45.028601105",-118.973792994,45.028601105,"BCS6","BC",35,110,92,633,771,989,"Y","N",512,656,674,681,706,654,652,631,622,669,394,444,565,498,487,492,529,510,597,554,596,600,506,575,645.7,527.2,419,-118.5,275,-15.6365801560548,-0.427291374379382,600,0.929224097878272,2,1,450.493418887503,1.17088333090003,15.2964895453453,1.4091898477721,14.6280954951113,8.23368643812269
"33","-118.97464866_45.046283248",-118.97464866,45.046283248,"BCN4","BC",55,111,185,575,713,1006,"Y","N",482,619,569,685,627,635,625,578,607,609,230,312,394,341,409,443,452,339,458,420,359,479,458,488,603.6,392.7,271,-210.9,379,8.17182088354986,0.116830577363976,488,0.808482438701127,13,2,461.994244944837,1.36385881928926,15.1226103308388,1.48723857510119,14.4212372460179,8.24323457506403
"34","-118.975480973_45.049574189",-118.975480973,45.049574189,"BCN6","BC",45,111,105,575,713,1006,"Y","N",445,595,578,598,632,606,750,669,643,675,354,448,550,553,588,511,515,534,600,495,434,634,642,587,619.1,522.8,401,-96.3000000000001,321,35.1051281014087,0.635471804552431,642,1.0369891778388,2,1,461.994244944837,1.36385881928926,15.1226103308388,1.48723857510119,14.4212372460179,8.24323457506403
"35","-118.981536421_45.022371279",-118.981536421,45.022371279,"BCN11","BC",55,111,91,611,750,1082,"Y","N",451,512,634,695,671,678,711,691,667,677,265,396,495,340,362,329,495,442,567,498,566,574,497,536,638.7,449,330.5,-189.7,412,-79.4731898012253,-1.07664418141223,574,0.898700485360889,8,1,461.994244944837,1.36385881928926,15.1226103308388,1.48723857510119,14.4212372460179,8.24323457506403
"36","-119.17446557_44.197868422",-119.17446557,44.197868422,"FL-9-2","Flagtail",55,110,181,570,706,1494,"Y","N",517,576,570,625,625,648,641,661,581,592,114,164,282,394,428,409,480,474,385,403,398,411,449,398,603.6,381.7,139,-221.9,478,118.003822908617,1.10327386030213,480,0.795228628230616,NA,3,456.670672435469,-2.32379824030516,14.0383993251841,0.840435454506477,14.2527143927179,5.85730054243944
"37","-119.180094152_44.203420158",-119.180094152,44.203420158,"FL-B7-3","Flagtail",45,110,195,548,683,1562,"Y","N",523,521,564,546,497,539,583,547,573,593,161,207,317,462,392,429,522,609,575,629,545,651,582,579,548.6,468.7,184,-79.9,432,125.078388641769,1.58266519334286,651,1.18665694495078,3,3,456.670672435469,-2.32379824030516,14.0383993251841,0.840435454506477,14.2527143927179,5.85730054243944
"38","-119.182763699_44.201019306",-119.182763699,44.201019306,"FL-5-1","Flagtail",55,110,201,548,683,1494,"Y","N",491,581,571,643,568,633,655,635,618,620,114,256,466,417,464,426,546,544,555,626,601,576,561,592,601.5,490.1,185,-111.4,506,107.528160838187,1.30608244835696,626,1.0407315045719,6,2,456.670672435469,-2.32379824030516,14.0383993251841,0.840435454506477,14.2527143927179,5.85730054243944
"39","-119.183264092_44.17897627",-119.183264092,44.17897627,"FL-7-1","Flagtail",0,100,200,523,658,1648,"Y","N",516,500,579,629,610,637,695,659,608,654,220,181,372,478,486,472,538,612,546,586,527,602,639,604,608.7,479.8,200.5,-128.9,434,131.911610761699,1.35734791137371,639,1.04977821586989,6,2,522.293330147289,-1.46649289485508,13.5245205397356,1.11040995943025,13.4709179026694,6.02901382244027
"40","-119.189834631_44.186306696",-119.189834631,44.186306696,"FL-10-1","Flagtail",45,110,88,552,686,1655,"Y","N",466,571,565,591,544,570,634,599,599,607,169,200,376,351,487,439,537,568,575,552,406,574,547,600,574.6,449.1,184.5,-125.5,438,129.989683822437,1.44401170207825,600,1.04420466411417,4,2,494.501076470563,-1.05351021131872,13.6623360528164,1.18704339878075,13.569474591416,6.30441292074885
"41","-119.195086347_44.179283706",-119.195086347,44.179283706,"FL-6-2","Flagtail",45,110,202,551,685,1549,"Y","N",472,505,545,554,512,491,640,536,493,546,322,275,298,368,335,317,349,338,370,414,323,407,426,444,529.4,338.7,298.5,-190.7,224,-44.934175174796,-0.675447142303393,444,0.838685304117869,12,3,522.293330147289,-1.46649289485508,13.5245205397356,1.11040995943025,13.4709179026694,6.02901382244027
"42","-119.201183193_44.170926427",-119.201183193,44.170926427,"FL-4-2","Flagtail",45,110,154,551,685,1537,"Y","N",452,522,496,554,522,535,611,542,558,531,117,226,407,459,439,314,435,418,359,361,338,329,429,292,532.3,375.6,171.5,-156.7,414,76.6493108090547,1.10901567801798,459,0.86229569791471,3,2,522.293330147289,-1.46649289485508,13.5245205397356,1.11040995943025,13.4709179026694,6.02901382244027
"43","-119.204682614_44.17341242",-119.204682614,44.17341242,"FL-5-2","Flagtail",45,109,177,541,676,1537,"Y","N",367,426,386,438,402,398,437,433,423,445,152,186,280,264,237,234,288,230,222,283,282,247,300,241,415.5,250.6,169,-164.9,293,-34.1243642050625,-0.636082067123231,300,0.72202166064982,NA,2,522.293330147289,-1.46649289485508,13.5245205397356,1.11040995943025,13.4709179026694,6.02901382244027
"44","-119.20991948_44.155743479",-119.20991948,44.155743479,"FL-B5-2","Flagtail",55,110,168,519,650,1667,"Y","N",515,608,634,664,658,655,666,667,676,718,411,372,451,487,510,519,558,518,538,573,534,589,633,646,646.1,506,391.5,-140.1,307,4.9141344739935,0.0746914332743282,646,0.999845225197338,5,2,522.293330147289,-1.46649289485508,13.5245205397356,1.11040995943025,13.4709179026694,6.02901382244027
"45","-119.294647911_43.855647194",-119.294647911,43.855647194,"EG-3-X","Egley",45,110,179,575,705,1547,"Y","N",539,573,559,528,512,505,509,519,574,580,557,212,283,320,413,354,343,362,354,377,369,400,410,425,539.8,338.7,384.5,-201.1,23,-96.4999139429422,-1.62412887827317,425,0.787328640237125,NA,4,428.229721416503,-2.03778745468622,13.4720648866282,0.992961032941856,13.6255065843886,5.71713871597101
"46","-119.299793337_43.858278216",-119.299793337,43.858278216,"EG-2-3","Egley",25,110,193,575,705,1548,"Y","N",373,413,405,400,400,396,411,416,420,451,432,177,298,298,482,488,441,409,443,438,460,402,430,486,408.5,393.4,304.5,-15.1,19,83.8161266631189,2.09845734778543,488,1.19461444308446,4,2,428.229721416503,-2.03778745468622,13.4720648866282,0.992961032941856,13.6255065843886,5.71713871597101
"47","-119.305205962_43.833800707",-119.305205962,43.833800707,"EG-8-1","Egley",35,110,201,645,779,1409,"Y","Y",546,531,546,493,502,460,486,509,507,533,481,128,191,252,242,241,262,274,289,300,368,372,437,382,511.3,254.7,304.5,-256.6,52,-140.378837274711,-1.96756914964405,437,0.854684138470565,12,10,381.967649337038,-1.95628843470339,13.8395454300178,1.00276706659255,14.090688616223,5.94162849765722
"48","-119.339349862_43.633328522",-119.339349862,43.633328522,"EG-6-3","Egley",25,110,165,596,727,1594,"Y","N",444,419,410,379,324,379,364,473,479,449,107,262,417,463,460,445,476,416,434,426,476,471,420,466,412,427.5,184.5,15.5,342,140.976447059416,4.05035787561984,476,1.15533980582524,2,1,346.305071837517,-1.93173528485119,13.6899623233357,1.12225370948271,14.0922697409313,5.87911351924227
"49","-119.367521316_43.825161155",-119.367521316,43.825161155,"EG-4-3","Egley",45,110,117,620,754,1501,"Y","N",454,532,509,495,503,508,494,548,563,583,549,165,342,399,488,446,493,483,516,502,515,471,523,537,518.9,434.9,357,-84,34,17.9872403592746,0.308038223755482,537,1.03488148005396,4,2,427.909050115228,-2.27692636142479,13.4489841130982,0.899681859067756,13.6034158747822,5.58602887583671
"50","-119.371444232_43.82988332",-119.371444232,43.82988332,"EG-7-1","Egley",45,110,127,585,718,1505,"Y","N",538,598,585,565,537,540,527,562,569,610,588,209,309,428,367,387,403,455,464,447,450,441,476,478,563.1,391.9,398.5,-171.2,22,-75.8863901565194,-1.33195915547252,478,0.848872313976203,7,3,427.909050115228,-2.27692636142479,13.4489841130982,0.899681859067756,13.6034158747822,5.58602887583671
"51","-119.373051135_43.686044582",-119.373051135,43.686044582,"EG-12-1","Egley",45,110,182,518,642,1763,"Y","N",513,556,553,488,544,504,499,606,644,599,135,219,468,530,537,421,468,407,463,569,630,601,682,696,550.6,471.2,177,-79.4,464,90.233489519532,1.3896062668524,696,1.26407555394116,2,2,427.054120332081,-1.32971308869909,12.6353075301156,1.36876694048808,12.8513902789063,5.65279722070825
"52","-119.374286218_43.829604722",-119.374286218,43.829604722,"EG-B9-1","Egley",35,110,204,561,689,1505,"Y","N",420,498,465,472,444,472,461,452,506,483,95,117,216,270,249,270,298,352,352,348,376,368,396,390,467.3,284.8,106,-182.5,388,21.2173037588017,0.267984693994729,396,0.847421356730152,10,6,427.909050115228,-2.27692636142479,13.4489841130982,0.899681859067756,13.6034158747822,5.58602887583671
"53","-119.376193832_43.697205565",-119.376193832,43.697205565,"EG-4-2","Egley",45,110,182,529,653,1692,"Y","N",540,535,531,520,559,577,554,538,596,615,238,216,369,270,291,293,328,322,329,292,344,339,353,333,556.5,305.4,227,-251.1,377,-84.2505681015283,-1.15118778760156,369,0.663072776280323,NA,2,427.054120332081,-1.32971308869909,12.6353075301156,1.36876694048808,12.8513902789063,5.65279722070825
"54","-119.376774435_43.8321037",-119.376774435,43.8321037,"EG-3-3","Egley",25,110,195,561,689,1505,"Y","N",404,445,487,438,463,479,478,454,491,505,114,162,388,412,442,334,439,477,469,507,550,541,506,528,464.4,418,138,-46.4,391,115.776937094648,2.11116645852788,550,1.18432385874246,2,2,427.909050115228,-2.27692636142479,13.4489841130982,0.899681859067756,13.6034158747822,5.58602887583671
"55","-119.38005754_43.703868491",-119.38005754,43.703868491,"EG-B8-1","Egley",45,111,185,509,634,1692,"N","N",596,592,628,580,554,571,548,577,620,602,599,174,318,309,306,344,345,354,427,429,464,468,472,538,586.8,347,386.5,-239.8,3,-146.951422576694,-2.10776641709433,538,0.916837082481254,12,7,427.054120332081,-1.32971308869909,12.6353075301156,1.36876694048808,12.8513902789063,5.65279722070825
"56","-119.380719732_43.821988046",-119.380719732,43.821988046,"EG-5-1","Egley",45,111,167,576,707,1574,"Y","N",636,636,658,649,605,602,589,607,649,642,608,212,491,573,514,457,609,555,597,646,678,658,581,626,627.3,533.2,410,-94.0999999999999,34,11.2611935973207,0.232661934489711,678,1.08082257293161,3,2,427.909050115228,-2.27692636142479,13.4489841130982,0.899681859067756,13.6034158747822,5.58602887583671
"57","-119.381338595_43.824272657",-119.381338595,43.824272657,"EG-B1-1","Egley",45,111,171,576,707,1574,"Y","N",527,583,575,565,577,549,593,559,582,616,118,155,337,470,503,527,510,472,430,542,534,512,542,571,572.6,448,136.5,-124.6,498,170.043816486287,1.97402083723572,571,0.997205728257073,3,3,427.909050115228,-2.27692636142479,13.4489841130982,0.899681859067756,13.6034158747822,5.58602887583671
"58","-119.383671504_43.787999621",-119.383671504,43.787999621,"EG-1-1","Egley",45,111,128,606,737,1544,"Y","N",596,635,637,608,623,616,577,619,650,662,83,138,358,493,407,489,566,518,597,645,643,674,605,723,622.3,485.4,110.5,-136.9,579,148.666396692873,1.57169419080879,723,1.16181905833199,6,3,373.216426629847,-1.98141212372787,13.9905498706827,1.01814493795904,14.3408316384709,6.00456887347739
